model,subject,condition,mu_r2,beta_r2
labram,12,recovered,-0.04089199404774302,-0.31943576869892354
labram,14,recovered,0.1180013997757473,-1.1033081368077862
labram,15,recovered,-0.22312886177015367,-0.01724766061478089
labram,16,recovered,-0.2010990349588202,-1.309722093641454
labram,17,recovered,-1.0145322300891797,0.2580584910317273
labram,18,recovered,-0.6513347303744064,0.06830009090798306
labram,19,recovered,-0.19931548315245995,0.11020646824395408
labram,21,recovered,0.22321229148731647,0.3208016500596056
labram,22,recovered,-1.0437658804020504,-0.1161419938757755
labram,25,recovered,-0.08972673618606342,-0.1486369047912539
labram,26,recovered,0.44601335593976654,0.7839649836751635
labram,29,recovered,-0.07873334204445515,0.40891426377130813
labram,1,random_31,0.06414429968490554,-0.3121835321507911
labram,3,random_31,-0.23088476732353125,0.40366783140804996
labram,6,random_31,-0.3952871643314284,-0.02275266343740845
labram,8,random_31,0.23148470244844077,-0.27239156334224957
labram,9,random_31,-0.24858401349597425,0.5424255741747623
labram,11,random_31,-0.014351975307075104,-0.13524566987303
labram,12,random_31,0.01589814664482958,-0.2782119142740702
labram,14,random_31,0.2540115603263826,-0.3853834648296508
labram,15,random_31,-0.08241524293380631,0.20421381645160352
labram,16,random_31,-0.031815041266219035,-1.2670151508044585
labram,17,random_31,-0.6234286542998648,-0.04178672013950968
labram,18,random_31,-0.5340647631130193,0.06457766122347786
labram,19,random_31,0.13344244801888205,0.2337188676889106
labram,21,random_31,0.3095645680394058,0.4639981695551356
labram,22,random_31,-1.2712904680743327,0.028710654528378732
labram,25,random_31,-0.031606901396278086,-0.2880949346750923
labram,26,random_31,0.3771412920377981,0.8225357584979226
labram,29,random_31,0.04694193018917925,0.40064871044973993
labram,1,random_71,0.07691406875786044,-0.29508417211489957
labram,3,random_71,-0.23773885408722895,0.40024697715201873
labram,6,random_71,-0.6962349872203266,0.022655404077078112
labram,8,random_71,0.23566076635937028,-0.27332818295120753
labram,9,random_71,-0.22437877393058026,0.5469863239492354
labram,11,random_71,-0.014811710481284157,-0.13745256115915638
labram,12,random_71,0.049364156857711006,-0.2880758377309425
labram,14,random_71,0.24701533275693932,-0.3909214962931018
labram,15,random_71,-0.3405530191482582,0.19176291320678696
labram,16,random_71,-0.029872941107874418,-1.2816255365242561
